match_id,minute,value
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,31,-24
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,32,58
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,33,28
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,34,30
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,35,22
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,36,18
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,37,9
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,38,-11
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,39,25
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,40,7
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,41,14
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,42,18
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,43,-21
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,44,-7
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,45,11
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,45.5,0
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,46,2
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,47,2
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,48,-11
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,49,-25
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,50,-31
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,51,-18
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,52,-11
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,53,-52
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,54,-55
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,55,-55
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,56,-40
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,57,-33
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,58,-30
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,59,-20
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,60,-14
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,61,-8
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,62,13
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,63,-63
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,64,-33
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,65,-26
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,66,-7
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,67,-7
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,68,2
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,69,-7
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,70,-2
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,71,50
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,72,37
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,73,24
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,74,-60
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,75,-40
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,76,-32
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,77,-26
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,78,-29
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,79,-40
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,80,-19
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,81,-6
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,82,12
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,83,13
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,84,29
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,85,16
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,86,89
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,87,59
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,88,18
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,89,3
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,90,-42
25-26-champions-league-slavia-prague-vs-tottenham-hotspur,90.5,20
