player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles_attempted,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed
501,25-26-friendly-newcastle-united-vs-arsenal,16,0,0,0,0.0,0.0,0,0,0,0,3,2,100.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,1.0,0,0,0,0,0.0,0.0,0.0,,0.0,74.0,90.0,1.0,0.0,0.0
490,25-26-friendly-newcastle-united-vs-arsenal,45,0,0,0,0.0,0.0,0,0,0,0,25,15,88.0,0.0,0,0,0.0,1,100.0,0,0,2,0,2,2,0,2,3,2,40.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,1.0,0,0,0,0,0.0,0.0,0.0,,0.0,46.0,90.0,1.0,0.0,0.0
481,25-26-friendly-newcastle-united-vs-arsenal,90,0,0,0,0.0,0.0,0,0,0,0,26,13,81.0,0.0,0,0,0.0,0,0.0,1,0,1,1,1,1,1,3,1,1,50.0,2,100.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,100.0,0.0,,1.0,0.0,46.0,2.0,0.0,0.0
571,25-26-friendly-newcastle-united-vs-tottenham-hotspur,80,0,0,0,0.0,0.0,0,0,0,0,31,18,69.0,0.0,4,0,0.0,0,0.0,0,1,1,0,0,0,0,0,4,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,80.0,1.0,0.0,0.0
575,25-26-friendly-newcastle-united-vs-tottenham-hotspur,45,0,0,0,0.0,0.0,0,0,0,0,17,12,92.0,0.0,0,0,0.0,0,0.0,0,0,2,1,1,1,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,1.0,0,0,0,0,0.0,0.0,0.0,,0.0,46.0,90.0,0.0,0.0,0.0
588,25-26-friendly-newcastle-united-vs-tottenham-hotspur,16,0,0,0,0.0,0.0,0,0,0,0,6,2,50.0,0.0,2,0,0.0,0,0.0,0,0,1,0,0,0,0,1,1,0,0.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,,0.0,75.0,90.0,0.0,0.0,0.0
367,25-26-friendly-liverpool-vs-preston-north-end,45,0,0,0,0.0,0.0,0,0,0,0,21,14,78.0,0.0,0,0,0.0,1,20.0,0,0,4,0,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,14,1,0.0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,46.0,0.0,0.0,0.0
261,25-26-friendly-augsburg-vs-crystal-palace,69,0,0,1,0.06,0.01,1,1,0,1,34,18,86.0,1.0,2,0,0.0,2,67.0,0,1,0,0,5,4,0,7,3,3,75.0,4,67.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,100.0,0.0,0.32,,2.0,0.0,70.0,0.0,0.0,0.0
271,25-26-friendly-augsburg-vs-crystal-palace,90,0,0,1,0.07,0.11,1,0,1,1,71,52,88.0,0.0,8,0,0.0,0,0.0,1,1,4,0,1,0,1,4,4,3,43.0,1,100.0,0,3,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,33.0,0.1,,3.0,0.0,92.0,1.0,0.0,0.0
267,25-26-friendly-augsburg-vs-crystal-palace,90,0,0,1,0.2,0.14,1,0,1,2,37,21,78.0,1.0,4,0,0.0,1,50.0,0,0,2,0,1,1,2,3,6,2,29.0,1,50.0,2,3,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.27,,0.0,0.0,92.0,1.0,0.0,0.0
